objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
588848899934128969,756,44,3,756,2889,6,229.026439,-0.09142475,24.097847,22.903175,22.22727,22.51685,21.832937,0.719378,0.138872,0.120032,0.23246,0.443829
588848899934128970,756,44,3,756,2890,6,229.02792285,-0.09143606,24.159542,22.739456,22.410717,22.233532,22.915085,0.780857,0.129216,0.150062,0.194878,0.687154
588848899934128999,756,44,3,756,2919,6,229.03220996,-0.11333717,23.096376,22.350079,21.682295,21.591278,22.249811,0.387216,0.088438,0.076671,0.106843,0.574191
588848899934129000,756,44,3,756,2920,6,229.03300208,-0.09809806,22.926081,21.931314,21.340042,21.122849,21.187111,0.342522,0.063459,0.057951,0.072066,0.283759
588848899934129433,756,44,3,756,3353,6,229.0158297,-0.08986506,24.387751,24.373152,22.851543,21.906673,21.044928,0.7931,0.413277,0.205,0.137596,0.243697
588848899934129450,756,44,3,756,3370,6,229.03549935,-0.10363815,24.511944,23.501915,22.838209,23.476173,22.263298,0.808917,0.225048,0.203209,0.477972,0.56565
588848899934126243,756,44,3,756,163,6,228.98377937,-0.1016047,18.617889,16.40848,15.511252,15.146739,14.926274,0.015245,3.863412E-3,3.585177E-3,3.713566E-3,4.764963E-3
588848899934126248,756,44,3,756,168,6,228.98526999,-0.10173802,22.626892,21.770527,21.347225,21.926886,21.115482,0.264501,0.054695,0.059192,0.142542,0.257926
588848899934126249,756,44,3,756,169,6,228.98155131,-0.10613324,22.258486,21.448633,21.063004,20.942724,20.922703,0.194466,0.042296,0.044729,0.059969,0.220448
588848899934126254,756,44,3,756,174,3,228.98153107,-0.10426412,23.131306,22.404085,22.031126,21.776676,22.55851,0.434059,0.100215,0.111444,0.137644,0.700951
588848899934126256,756,44,3,756,176,3,228.98086306,-0.10544597,23.633896,22.851917,22.347467,21.789862,21.347757,0.669017,0.157006,0.160234,0.151909,0.385189
588848899934126266,756,44,3,756,186,6,228.98841488,-0.11477838,18.980787,17.744701,17.596504,17.550238,17.528587,0.018642,5.177677E-3,5.381917E-3,6.250711E-3,0.015382
588848899934126267,756,44,3,756,187,6,228.99017959,-0.11946048,21.047302,19.781679,19.181639,18.978954,18.853119,0.073684,0.013456,0.011559,0.013383,0.039132
588848899934126268,756,44,3,756,188,3,228.98737177,-0.11311689,21.811848,20.804062,20.44113,20.401945,20.133064,0.144905,0.027739,0.029717,0.042249,0.126009
588848899934126269,756,44,3,756,189,6,228.98879583,-0.1133986,22.349264,21.236191,20.867422,20.819754,20.56967,0.210666,0.036132,0.038538,0.054212,0.164296
588848899934126271,756,44,3,756,191,6,228.98937915,-0.11416382,22.502159,21.483154,21.086367,20.949308,20.529259,0.239485,0.046526,0.051092,0.06073,0.157952
588848899934126273,756,44,3,756,193,6,228.98927356,-0.11848586,23.285254,22.095123,21.74766,21.730007,21.139837,0.438281,0.070174,0.078945,0.117917,0.263204
588848899934126274,756,44,3,756,194,6,228.98939849,-0.1161011,23.730032,22.066458,21.610554,21.642826,21.943434,0.641532,0.074347,0.07667,0.120294,0.522837
588848899934126275,756,44,3,756,195,6,228.98829183,-0.11152583,23.65003,22.05974,21.733532,21.74431,21.791859,0.579193,0.070369,0.080445,0.123382,0.447058
588848899934126277,756,44,3,756,197,6,228.98865316,-0.1178106,22.975452,22.460201,22.172134,21.852032,21.893595,0.349363,0.095402,0.113789,0.131989,0.464656
588848899934126279,756,44,3,756,199,6,228.99077954,-0.11799927,24.36931,22.90399,22.247194,22.103048,22.503967,0.791107,0.138476,0.121647,0.16343,0.614399
588848899934126281,756,44,3,756,201,6,228.98837905,-0.11690814,25.415117,23.20582,23.566351,23.524099,22.209684,0.665122,0.187864,0.383641,0.52646,0.592803
588848899934126294,756,44,3,756,214,6,228.99085334,-0.09824048,18.823011,17.912273,17.567118,17.445751,17.373753,0.017021,5.527256E-3,5.356249E-3,6.001267E-3,0.013859
588848899934126306,756,44,3,756,226,6,228.99536806,-0.08811297,18.381966,16.13273,15.205421,14.819013,14.592628,0.013406,3.713556E-3,3.497514E-3,3.656598E-3,4.442467E-3
588848899934126307,756,44,3,756,227,6,228.9963641,-0.08975133,18.913925,17.663013,17.351166,17.24404,17.197664,0.018013,5.0798E-3,4.98152E-3,5.557692E-3,0.012506
588848899934126308,756,44,3,756,228,6,228.99359843,-0.08654105,21.450325,20.082542,19.505075,19.270826,19.145729,0.101955,0.016325,0.014219,0.016303,0.049703
588848899934126309,756,44,3,756,229,6,228.99849366,-0.08865624,21.974705,20.833914,20.516239,20.386217,20.198515,0.157488,0.027274,0.029662,0.038673,0.122593
588848899934126310,756,44,3,756,230,6,228.99460967,-0.0893317,22.204901,21.069708,20.891741,20.598516,21.340771,0.206913,0.035523,0.044814,0.055613,0.35847
588848899934126311,756,44,3,756,231,6,228.99385832,-0.08533461,22.539577,21.415136,21.077457,20.882509,20.985765,0.253878,0.042685,0.047135,0.059457,0.244959
588848899934126312,756,44,3,756,232,3,228.99699634,-0.08643643,25.32151,24.513454,23.004543,21.694094,20.978394,0.663368,0.442769,0.233363,0.114789,0.2311
588848899934126313,756,44,3,756,233,6,228.99580963,-0.09131326,23.615902,22.564011,22.143867,21.557228,21.474308,0.618336,0.114637,0.123739,0.113687,0.388884
588848899934126318,756,44,3,756,238,6,228.99612983,-0.13480256,20.597797,19.303667,18.745596,18.511311,18.378719,0.052438,0.010252,8.986544E-3,9.999873E-3,0.027423
588848899934126327,756,44,3,756,247,6,229.00086342,-0.13730763,22.428577,21.712175,21.281502,21.078844,21.551697,0.225397,0.052593,0.054363,0.068831,0.375691
588848899934126329,756,44,3,756,249,6,228.99915784,-0.13656434,23.088411,21.925491,21.413639,21.261675,21.332178,0.373956,0.061097,0.059343,0.078391,0.31035
588848899934126330,756,44,3,756,250,6,228.99500729,-0.13422418,23.102737,21.964069,21.535479,21.429079,21.323048,0.38066,0.063115,0.065926,0.090754,0.307369
588848899934126334,756,44,3,756,254,6,228.99823538,-0.13598994,23.059544,22.305042,21.67753,21.6098,21.659504,0.379813,0.086044,0.076599,0.110133,0.41292
588848899934126338,756,44,3,756,258,6,229.00189319,-0.13831023,25.273037,24.218172,22.710285,23.001034,21.908173,0.679092,0.373992,0.180021,0.342621,0.46774
