08 44 51  -41 14 00 
08 45 00  -31 38 00 
08 45 18  -31 46 00 
08 45 30  -48 48 00 
08 46 12  -41 52 42 
08 46 15  -47 41 54 
08 46 22  -52 56 54 
08 46 30  -52 54 00 
08 47 11  -52 04 30 
08 47 54  -42 27 00 
08 47 58  -38 03 30 
08 48 00  -47 01 48 
08 49 06  -46 50 00 
08 49 23  -46 51 00 
08 49 41  -44 22 00 
08 49 47  +44 42 12 
08 50 02  +11 20 18 
08 50 07  +11 56 42 
08 50 17  -41 43 12 
08 50 30  +12 17 42 
08 51 18  +11 48 00 
08 51 27  +11 23 42 
08 51 35  -50 15 18 
08 52 00  +12 22 42 
08 52 05  -37 36 00 
08 52 27  -37 34 00 
08 53 00  -35 28 36 
08 53 01  +11 51 42 
08 56 11  -39 31 00 
08 57 08  -43 15 00 
08 57 12  -47 46 00 
09 00 32  -48 59 00 
09 01 10  -50 55 00 
09 02 36  -43 38 00 
09 04 49  -46 02 30 
09 05 15  -55 57 18 
09 09 30  -59 07 42 
09 10 12  -56 16 00 
09 10 30  -53 53 12 
09 11 23  -47 02 24 
09 13 47  -43 44 24 
09 16 01  -36 37 30 
09 15 53  -50 01 00 
09 16 44  -50 17 06 
09 18 00  -69 41 24 
09 19 23  -40 31 24 
09 19 41  -38 07 00 
09 20 00  -45 07 00 
09 20 18  -60 24 00 
09 20 32  -52 51 06 
09 20 39  -49 13 23 
09 21 03  -37 07 00 
09 21 55  -56 19 00 
09 22 07  -51 06 00 
09 24 13  -51 40 00 
09 24 21  -44 42 18 
09 25 18  -54 43 00 
09 25 42  -53 14 00 
09 26 45  -51 16 00 
09 27 04  -55 07 00 
09 27 38  -57 00 00 
09 27 58  -54 15 36 
09 29 10  -53 42 00 
09 29 51  -52 47 00 
09 30 30  -52 55 06 
09 31 08  -56 25 00 
09 31 24  -53 03 00 
09 31 56  -50 13 00 
09 33 11  -53 23 54 
09 33 29  -52 23 10 
09 33 51  -36 36 54 
09 34 45  -48 02 00 
09 34 48  -54 42 00 
09 35 25  -39 32 00 
09 37 55  -59 33 00 
09 40 12  -50 19 24 
09 40 33  -50 35 00 
09 40 59  -53 51 00 
09 42 01  -44 01 12 
09 42 03  -44 01 00 
09 43 42  -56 33 00 
09 44 06  -53 18 00 
09 44 46  -54 26 24 
09 45 12  -44 06 00 
09 45 46  -54 00 00 
09 48 37  -56 25 18 
09 49 08  -65 15 00 
09 49 15  -54 36 00 
09 49 16  -62 40 18 
09 51 16  -53 10 00 
09 51 32  -56 19 00 
09 54 18  -57 04 48 
09 54 43  -50 55 00 
09 55 33  -28 59 12 
09 56 22  -47 02 00 
09 57 39  -54 41 00 
09 57 45  -54 36 00 
09 58 45  -30 54 36 
10 00 39  -54 47 18 
10 01 19  -58 13 00 
10 01 26  -55 07 00 
10 01 36  -59 28 00 
10 01 52  -49 34 00 
10 02 36  -60 07 12 
10 03 12  -58 09 00 
10 03 14  -64 45 12 
10 03 54  -32 03 12 
10 04 18  -55 26 00 
10 04 39  -55 51 29 
10 04 54  -61 36 00 
10 05 03  -55 48 00 
10 06 21  -60 23 00 
10 06 29  -60 18 00 
10 06 30  -51 34 00 
10 06 37  -60 30 00 
10 08 13  -64 22 12 
10 08 46  -61 15 00 
10 09 35  -28 21 30 
10 10 48  -66 40 48 
10 11 06  -56 36 00 
10 12 10  -58 04 00 
10 14 03  -29 11 24 
10 14 58  -64 36 42 
10 15 07  -54 58 12 
10 15 32  -50 43 00 
10 17 18  -58 42 00 
10 18 55  -63 08 00 
10 19 07  -56 25 00 
10 20 13  -57 39 00 
10 21 22  -51 43 42 
10 21 24  -54 27 03 
10 21 39  -69 20 06 
10 23 00  -54 48 00 
10 23 48  -60 08 00 
10 24 02  -57 46 00 
10 25 52  -57 55 36 
10 26 31  -60 40 36 
10 27 29  +66 47 54 
10 27 29  -57 37 00 
10 28 26  -58 11 00 
10 28 27  -60 40 00 
10 28 54  -58 47 00 
10 29 05  -60 45 00 
10 29 10  -60 59 00 
10 29 12  -56 47 00 
10 30 18  -54 08 00 
10 30 53  -53 52 00 
10 31 00  -58 27 00 
10 32 16  -60 01 12 
10 32 24  -56 42 00 
10 33 07  -58 28 48 
10 34 42  -58 08 00 
10 35 46  -60 07 00 
10 35 51  -58 13 48 
10 35 56  -58 44 12 
10 36 14  -61 51 00 
10 37 00  -58 44 00 
10 37 20  -58 38 30 
